Original_PSNR,Predicted_PSNR,Original_SSIM,Predicted_SSIM
[20.80547820603023],[26.67610064236741],[0.7978865996605382],[0.8468464543207753]
[21.71104411272644],[28.1588223954785],[0.7902925387523153],[0.8683739780085431]
[21.71743942909373],[29.567173749461986],[0.7971040240120836],[0.8735246486891566]
[21.609052253574195],[28.889173935148346],[0.7984484653199728],[0.8710304120767645]
[22.151359262128018],[29.443563039144053],[0.7900099960676183],[0.8669754197645421]
[21.634761967463653],[28.62748243400892],[0.7836376762873731],[0.870184558596657]
[22.321073597043423],[28.730512575732455],[0.8005817786592504],[0.8619514726653058]
[21.89621790372334],[27.962193770191636],[0.8052260746678802],[0.856396496394708]
[22.235900636637936],[31.854691016957567],[0.8069799376305493],[0.9027850151034953]
[23.344222539232987],[28.289604893069594],[0.8156952982565857],[0.8584182428706201]
[18.972596805586896],[19.9223695610675],[0.7048935281215513],[0.7349751344210054]
[22.601487882645586],[31.05544067487338],[0.8104412268097863],[0.8999016217275746]
[23.1699492876993],[32.407702034023565],[0.7968805946665302],[0.8924571903419362]
[21.66514170925632],[27.459802660191713],[0.7856721357332518],[0.859061421447054]
[23.4305818661162],[30.437044295793157],[0.8197896248486152],[0.8930876548511771]
[22.145103052221256],[30.919230752586763],[0.7935119850059494],[0.8908011327876637]
[20.97131191710304],[27.346248699766726],[0.7965894851662457],[0.8687953538935299]
[23.051415739078944],[28.256980104822272],[0.8100292471162475],[0.8560568954357608]
[22.465149049560026],[29.515473827499],[0.8173598441708797],[0.8890397055311575]
[22.583537745582692],[27.76836112602666],[0.843134894347739],[0.8724323967170697]
[21.69262931070439],[28.819771642708496],[0.7912441012897351],[0.8758712146335467]
[22.123942500790346],[28.217700939267175],[0.8048832301606624],[0.8655362781819702]
[22.74038800643844],[32.550973446019604],[0.8126435425521734],[0.9073975593232343]
[22.725119436640902],[30.976232001553157],[0.8248535910670641],[0.9064544824094496]
[21.424460930202052],[26.644935843177578],[0.8270473094021376],[0.8300301255888215]
[20.098816338379372],[26.28323115008331],[0.7918908817770068],[0.8537354714938944]
[22.6691689576054],[27.796954610516984],[0.8463245782142141],[0.8731467413248044]
[20.749822881137177],[27.38857674776623],[0.7983919339095422],[0.8453957293363988]
[22.92975826569727],[31.958610307956526],[0.7996346284358162],[0.8910939201819078]
[21.48122683645451],[27.793535666152025],[0.8004176090115706],[0.8636127623650293]
[24.112951872653937],[33.04551101927773],[0.8260810023730625],[0.9107045019051986]
[23.025055015254008],[31.03938133510953],[0.8038290059340085],[0.8939961912545331]
